Entry	Entry Name	Gene Ontology (cellular component)	Gene Names (primary)
Q03188	CENPC_HUMAN	condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; inner kinetochore [GO:0000939]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]	CENPC
Q12834	CDC20_HUMAN	anaphase-promoting complex [GO:0005680]; centrosome [GO:0005813]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]; spindle pole [GO:0000922]	CDC20
Q12888	TP53B_HUMAN	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; DNA repair complex [GO:1990391]; kinetochore [GO:0000776]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork [GO:0005657]; site of double-strand break [GO:0035861]	TP53BP1
Q13257	MD2L1_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]; mitotic spindle [GO:0072686]; mitotic spindle assembly checkpoint MAD1-MAD2 complex [GO:1990728]; nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle pole [GO:0000922]	MAD2L1
Q13352	CENPR_HUMAN	cytoplasm [GO:0005737]; cytosol [GO:0005829]; inner kinetochore [GO:0000939]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	ITGB3BP
Q13523	PRP4K_HUMAN	catalytic step 2 spliceosome [GO:0071013]; kinetochore [GO:0000776]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	PRP4K
Q14008	CKAP5_HUMAN	centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]	CKAP5
Q14141	SEPT6_HUMAN	axon terminus [GO:0043679]; cell division site [GO:0032153]; cleavage furrow [GO:0032154]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; septin collar [GO:0032173]; septin complex [GO:0031105]; septin ring [GO:0005940]; sperm annulus [GO:0097227]; spindle [GO:0005819]; synaptic vesicle [GO:0008021]	SEPTIN6
Q14683	SMC1A_HUMAN	chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; kinetochore [GO:0000776]; meiotic cohesin complex [GO:0030893]; mitotic cohesin complex [GO:0030892]; mitotic spindle pole [GO:0097431]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	SMC1A
Q15019	SEPT2_HUMAN	actin cytoskeleton [GO:0015629]; axoneme [GO:0005930]; cell division site [GO:0032153]; cell surface [GO:0009986]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intercellular bridge [GO:0045171]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; non-motile cilium [GO:0097730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; photoreceptor connecting cilium [GO:0032391]; plasma membrane [GO:0005886]; septin complex [GO:0031105]; septin ring [GO:0005940]; sperm annulus [GO:0097227]; sperm principal piece [GO:0097228]; spindle [GO:0005819]; synapse [GO:0045202]	SEPTIN2
Q16181	SEPT7_HUMAN	axoneme [GO:0005930]; cell division site [GO:0032153]; cleavage furrow [GO:0032154]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; non-motile cilium [GO:0097730]; nucleus [GO:0005634]; septin complex [GO:0031105]; septin ring [GO:0005940]; sperm annulus [GO:0097227]; spindle [GO:0005819]; stress fiber [GO:0001725]	SEPTIN7
Q2NKX8	ERC6L_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]	ERCC6L
Q562F6	SGO2_HUMAN	chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic cohesin complex [GO:0030892]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]	SGO2
Q5EE01	CENPW_HUMAN	chromosome, centromeric region [GO:0000775]; inner kinetochore [GO:0000939]; kinetochore [GO:0000776]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPW
Q5FBB7	SGO1_HUMAN	centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; kinetochore [GO:0000776]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spindle pole [GO:0000922]	SGO1
Q5T280	SPOUT_HUMAN	kinetochore [GO:0000776]; mitotic spindle [GO:0072686]; spindle pole centrosome [GO:0031616]	SPOUT1
Q6P1K2	PMF1_HUMAN	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922]; transcription regulator complex [GO:0005667]	PMF1
Q71F23	CENPU_HUMAN	centriolar satellite [GO:0034451]; cytosol [GO:0005829]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPU
Q7Z3B3	KANL1_HUMAN	histone acetyltransferase complex [GO:0000123]; kinetochore [GO:0000776]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; MLL1 complex [GO:0071339]; NSL complex [GO:0044545]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle pole [GO:0000922]	KANSL1
Q7Z460	CLAP1_HUMAN	basal cortex [GO:0045180]; cell cortex [GO:0005938]; centrosomal corona [GO:0031592]; centrosome [GO:0005813]; cortical microtubule cytoskeleton [GO:0030981]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; microtubule plus-end [GO:0035371]; mitotic spindle [GO:0072686]; spindle microtubule [GO:0005876]	CLASP1
Q7Z7K6	CENPV_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle midzone [GO:0051233]	CENPV
Q8IWB6	TEX14_HUMAN	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intercellular bridge [GO:0045171]; kinetochore [GO:0000776]; midbody [GO:0030496]	TEX14
Q8IWS0	PHF6_HUMAN	kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	PHF6
Q8IX90	SKA3_HUMAN	centrosome [GO:0005813]; cytosol [GO:0005829]; kinetochore [GO:0000776]; meiotic spindle [GO:0072687]; mitotic spindle [GO:0072686]; outer kinetochore [GO:0000940]; SKA complex [GO:0170027]; spindle microtubule [GO:0005876]	SKA3
Q8N2Z9	CENPS_HUMAN	chromatin [GO:0000785]; cytosol [GO:0005829]; FANCM-MHF complex [GO:0071821]; Fanconi anaemia nuclear complex [GO:0043240]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPS
Q8N4N8	KIF2B_HUMAN	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; kinetochore [GO:0000776]; microtubule [GO:0005874]; spindle [GO:0005819]	KIF2B
Q8N554	ZN276_HUMAN	chromosome [GO:0005694]; kinetochore [GO:0000776]; nucleus [GO:0005634]	ZNF276
Q8NBT2	SPC24_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; Ndc80 complex [GO:0031262]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; outer kinetochore [GO:0000940]	SPC24
Q8NFH3	NUP43_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]	NUP43
Q8NFH4	NUP37_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	NUP37
Q8NG31	KNL1_HUMAN	acrosomal vesicle [GO:0001669]; cytosol [GO:0005829]; kinetochore [GO:0000776]; Knl1/Spc105 complex [GO:0180019]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]	KNL1
Q8WUM0	NU133_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]	NUP133
Q8WVJ2	NUDC2_HUMAN	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; spindle pole [GO:0000922]	NUDCD2
Q8WVK7	SKA2_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; meiotic spindle [GO:0072687]; outer kinetochore [GO:0000940]; SKA complex [GO:0170027]; spindle microtubule [GO:0005876]	SKA2
Q8WYP5	ELYS_HUMAN	chromatin [GO:0000785]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; kinetochore [GO:0000776]; nuclear body [GO:0016604]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	AHCTF1
Q92993	KAT5_HUMAN	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic spindle pole [GO:0097431]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; piccolo histone acetyltransferase complex [GO:0032777]; site of double-strand break [GO:0035861]; Swr1 complex [GO:0000812]; transcription regulator complex [GO:0005667]	KAT5
Q96BD8	SKA1_HUMAN	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; mitotic spindle microtubule [GO:1990498]; nucleoplasm [GO:0005654]; outer kinetochore [GO:0000940]; SKA complex [GO:0170027]; spindle microtubule [GO:0005876]	SKA1
Q96BK5	PINX1_HUMAN	chromosome, telomeric region [GO:0000781]; kinetochore [GO:0000776]; mitochondrion [GO:0005739]; nuclear chromosome [GO:0000228]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spindle [GO:0005819]	PINX1
Q96BT3	CENPT_HUMAN	chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; inner kinetochore [GO:0000939]; kinetochore [GO:0000776]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPT
Q96DE5	APC16_HUMAN	anaphase-promoting complex [GO:0005680]; cytosol [GO:0005829]; kinetochore [GO:0000776]; nucleoplasm [GO:0005654]	ANAPC16
Q96EA4	SPDLY_HUMAN	centrosome [GO:0005813]; cytosol [GO:0005829]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922]	SPDL1
Q96EE3	SEH1_HUMAN	cytosol [GO:0005829]; GATOR2 complex [GO:0061700]; kinetochore [GO:0000776]; lysosomal membrane [GO:0005765]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]; Seh1-associated complex [GO:0035859]	SEH1L
Q96EZ8	MCRS1_HUMAN	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; histone acetyltransferase complex [GO:0000123]; Ino80 complex [GO:0031011]; kinetochore [GO:0000776]; lysosome [GO:0005764]; MLL1 complex [GO:0071339]; NSL complex [GO:0044545]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; spindle pole [GO:0000922]	MCRS1
Q96GD4	AURKB_HUMAN	centrosome [GO:0005813]; chromatin [GO:0000785]; chromocenter [GO:0010369]; chromosome passenger complex [GO:0032133]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle midzone [GO:1990023]; mitotic spindle pole [GO:0097431]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]	AURKB
Q96H22	CENPN_HUMAN	cytosol [GO:0005829]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPN
Q96IK1	BOD1_HUMAN	centrosome [GO:0005813]; nucleoplasm [GO:0005654]; outer kinetochore [GO:0000940]; Set1C/COMPASS complex [GO:0048188]; spindle microtubule [GO:0005876]; spindle pole [GO:0000922]	BOD1
Q96IY1	NSL1_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922]	NSL1
Q96JM3	CHAP1_HUMAN	condensed chromosome [GO:0000793]; kinetochore [GO:0000776]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]	CHAMP1
Q96R06	SPAG5_HUMAN	centriolar satellite [GO:0034451]; ciliary basal body [GO:0036064]; ciliary rootlet [GO:0035253]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule plus-end [GO:0035371]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle pole [GO:0097431]; nuclear body [GO:0016604]	SPAG5
Q99661	KIF2C_HUMAN	centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; kinesin complex [GO:0005871]; kinetochore [GO:0000776]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; microtubule plus-end [GO:0035371]; nucleus [GO:0005634]; postsynapse [GO:0098794]; presynapse [GO:0098793]; spindle [GO:0005819]	KIF2C
Q9BS16	CENPK_HUMAN	cytosol [GO:0005829]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPK
Q9BTE1	DCTN5_HUMAN	centrosome [GO:0005813]; cytosol [GO:0005829]; dynactin complex [GO:0005869]; kinetochore [GO:0000776]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]	DCTN5
Q9BU64	CENPO_HUMAN	cytosol [GO:0005829]; inner kinetochore [GO:0000939]; Mis6-Sim4 complex [GO:0031511]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPO
